Title,Features.Max Players,Features.Online?,Metadata.Genres,Metadata.Publishers,Metrics.Review Score,Metrics.Sales,Metrics.Used Price,Release.Console,Release.Rating,Release.Year,Length.All PlayStyles.Average,Length.Completionists.Average,Length.Completionists.Leisure,Length.Completionists.Rushed,Length.Main + Extras.Average,Length.Main + Extras.Leisure,Length.Main + Extras.Rushed,Length.Main Story.Average,Length.Main Story.Leisure,Length.Main Story.Rushed
Harry Potter and the Goblet of Fire,1,TRUE,Action,EA,70,0.19,17.95,Sony PSP,T,2005,10.53333333,15,15.5,14.5,14.38333333,15.66666667,12.66666667,7.2,8.3,5.3
MediEvil Resurrection,1,TRUE,Action,Sony,66,0.19,17.95,Sony PSP,T,2005,9.6,9.25,10.66666667,7.816666667,0,0,0,9.966666667,10.73333333,9.2
Shrek SuperSlam,1,TRUE,Action,Activision,56,0.18,11.95,Nintendo DS,E,2005,1.216666667,0,0,0,0,0,0,1.216666667,1.666666667,0.9
Virtua Tennis: World Tour,1,TRUE,Sports,Sega,84,0.18,14.95,Sony PSP,M,2005,0,0,0,0,0,0,0,0,0,0
Prince of Persia: Revelations,1,TRUE,Action,Ubisoft,65,0.17,6.95,Sony PSP,E,2005,0,0,0,0,0,0,0,0,0,0
Burnout Legends,1,TRUE,"Action,Racing / Driving",EA,38,0.16,17.95,Nintendo DS,E,2005,12.83333333,15.36666667,18.91666667,11.38333333,14.08333333,18.51666667,10.03333333,6.516666667,6.866666667,6.166666667
Meteos,1,TRUE,Strategy,Nintendo,88,0.16,15.95,Nintendo DS,E,2005,17.26666667,23.75,30.61666667,16.86666667,20.41666667,25.4,13.9,8.516666667,11.05,6.5
Spyro: Shadow Legacy,1,TRUE,Role-Playing (RPG),,50,0.15,17.95,Nintendo DS,E,2005,4,6,6,6,5,5,5,2.516666667,3.25,1.766666667
The Con,1,TRUE,Action,Sony,63,0.15,8.95,Sony PSP,E,2005,0,0,0,0,0,0,0,0,0,0
Infected,1,TRUE,Action,,74,0.15,17.95,Sony PSP,E,2005,6.666666667,0,0,0,0,0,0,6.666666667,7,6.333333333
Pursuit Force,1,TRUE,"Action,Racing / Driving",Sony,75,0.14,14.95,Sony PSP,M,2005,9.833333333,0,0,0,10,11,9,9.75,9.933333333,9.433333333
Kingdom of Paradise,2,TRUE,"Action,Role-Playing (RPG)",Sony,72,0.13,12.95,Sony PSP,E,2005,23,0,0,0,23,24.5,21.5,0,0,0
Dragon Ball Z: Supersonic Warriors 2,1,TRUE,Action,Atari,66,0.13,22.95,Nintendo DS,E,2005,15.08333333,15.25,20.05,11.38333333,14.25,14.25,14.25,14.96666667,15.25,14.68333333
Dragon Quest Heroes: Rocket Slime,1,TRUE,Action,SquareEnix,83,0.13,12.95,Nintendo DS,T,2005,15.1,22.61666667,25.4,19.48333333,16.28333333,24.31666667,12.81666667,12.58333333,14.18333333,10.68333333
Dead to Rights: Reckoning,1,TRUE,Action,Namco,54,0.13,14.95,Sony PSP,E,2005,3.1,5,5,5,0,0,0,2.15,2.533333333,1.783333333
Amped 3,1,TRUE,Sports,2K,72,0.13,14.95,X360,E,2005,8.566666667,9,9,9,10.03333333,10.65,9.15,6.333333333,7.416666667,5.25
Break 'em All,1,TRUE,Action,,68,0.12,17.95,Nintendo DS,T,2005,0,0,0,0,0,0,0,0,0,0
Lunar: Dragon Song,1,TRUE,Role-Playing (RPG),Ubisoft,59,0.12,14.95,Nintendo DS,M,2005,25.63333333,29.61666667,35.76666667,25.91666667,0,0,0,20.31666667,21.11666667,19.5
Madden NFL 06,1,TRUE,Sports,EA,66,0.12,9.95,Nintendo DS,E,2005,3.75,3.75,5.366666667,2.116666667,0,0,0,0,0,0
Retro Atari Classics,1,TRUE,"Action,Racing / Driving,Simulation",Atari,51,0.12,12.95,Nintendo DS,E,2005,0,0,0,0,0,0,0,0,0,0
True Swing Golf,1,TRUE,Sports,Nintendo,66,0.12,14.95,Nintendo DS,E,2005,0,0,0,0,0,0,0,0,0,0
FIFA Soccer,1,TRUE,Sports,EA,73,0.12,14.95,Sony PSP,E,2005,0,0,0,0,0,0,0,0,0,0
Metal Gear Ac!d 2,1,TRUE,Strategy,Konami,80,0.12,12.95,Sony PSP,E,2005,14.83333333,0,0,0,17.61666667,20.9,14.6,13.45,14.9,12.03333333
ATV Quad Frenzy,1,TRUE,"Racing / Driving,Sports",,35,0.11,14.95,Nintendo DS,T,2005,0,0,0,0,0,0,0,0,0,0
Bomberman,1,TRUE,Strategy,Ubisoft,75,0.11,17.95,Nintendo DS,E,2005,3.333333333,0,0,0,0,0,0,3.333333333,4.133333333,2.633333333
GoldenEye: Rogue Agent,1,TRUE,Action,EA,58,0.11,14.95,Nintendo DS,T,2005,9.416666667,0,0,0,0,0,0,9.416666667,13.46666667,5.8
Need for Speed Underground 2,1,TRUE,Racing / Driving,EA,65,0.11,22.95,Nintendo DS,T,2005,20.96666667,23.36666667,30.21666667,20.71666667,20.9,24.21666667,18.71666667,19.6,20.9,17.4
Frogger: Helmet Chaos,1,TRUE,Action,Konami,66,0.11,19.95,Sony PSP,E,2005,0,0,0,0,0,0,0,0,0,0
The Lord of the Rings: Tactics,1,TRUE,"Role-Playing (RPG),Strategy",EA,64,0.11,19.95,Sony PSP,M,2005,5,0,0,0,0,0,0,5,5,5
Rengoku: The Tower of Purgatory,1,TRUE,"Action,Role-Playing (RPG)",Konami,43,0.11,12.95,Sony PSP,E,2005,4.716666667,0,0,0,0,0,0,4.716666667,5.083333333,4.35
Gretzky NHL,2,TRUE,Sports,Sony,61,0.1,9.95,Sony PSP,E,2005,0,0,0,0,0,0,0,0,0,0
Ridge Racer 6,2,TRUE,Racing / Driving,"EA,Namco",74,0.1,14.95,X360,E,2005,8,0,0,0,0,0,0,8,8,8
Ford Racing 3,1,TRUE,"Action,Racing / Driving",,49,0.1,14.95,Nintendo DS,E,2005,7.1,8.4,8.75,8,5.666666667,5.666666667,5.666666667,3.333333333,3.333333333,3.333333333
NHL 2K6 ,1,TRUE,Sports,2K,75,0.1,5.95,X360,T,2005,2.5,2.5,3,2.016666667,0,0,0,0,0,0
Bust-a-Move DS,1,TRUE,"Action,Strategy",,75,0.09,17.95,Nintendo DS,E,2005,0,0,0,0,0,0,0,0,0,0
Battles of Prince of Persia,1,TRUE,Strategy,Ubisoft,64,0.09,14.95,Nintendo DS,E,2005,8.5,0,0,0,0,0,0,8.5,10.38333333,6.616666667
GripShift,1,TRUE,Racing / Driving,Ubisoft,70,0.09,9.95,Sony PSP,E,2005,0,0,0,0,0,0,0,0,0,0
Marvel Nemesis: Rise of the Imperfects ,1,TRUE,Action,EA,34,0.08,14.95,Nintendo DS,T,2005,5.033333333,0,0,0,6.15,7.15,5.133333333,4.366666667,4.633333333,3.966666667
Scooby-Doo! Unmasked,1,TRUE,Action,THQ,60,0.08,17.95,Nintendo DS,E,2005,8,0,0,0,0,0,0,8,8,8
Viewtiful Joe: Double Trouble!,1,TRUE,Action,Capcom,73,0.08,14.95,Nintendo DS,E,2005,5.166666667,0,0,0,0,0,0,5.166666667,5.533333333,4.983333333
The Legend of Heroes: A Tear of Vermillion,1,TRUE,Role-Playing (RPG),,68,0.08,17.95,Sony PSP,T,2005,31.28333333,38.5,41.75,35.25,31.43333333,38.33333333,26.33333333,26.26666667,27.73333333,24.81666667
PQ: Practical Intelligence Quotient,1,TRUE,Strategy,,69,0.08,14.95,Sony PSP,E,2005,0,0,0,0,0,0,0,0,0,0
Lost in Blue,1,TRUE,Role-Playing (RPG),Konami,69,0.07,24.95,Nintendo DS,T,2005,24.15,22.25,23.61666667,20.86666667,25.43333333,27.16666667,23.68333333,0,0,0
Ghost in the Shell: Stand Alone Complex,1,TRUE,Action,Sony,61,0.07,14.95,Sony PSP,E,2005,0,0,0,0,0,0,0,0,0,0
Dig Dug: Digging Strike,1,TRUE,Action,Namco,65,0.06,16.95,Nintendo DS,E,2005,0,0,0,0,0,0,0,0,0,0
Frogger: Helmet Chaos,1,TRUE,Action,Konami,69,0.06,17.95,Nintendo DS,E,2005,0,0,0,0,0,0,0,0,0,0
Mega Man Battle Network 5: Double Team DS,1,TRUE,"Action,Role-Playing (RPG)",Capcom,68,0.06,17.95,Nintendo DS,E,2005,36.23333333,48.15,52.75,43.53333333,35.4,39.85,32.35,29.91666667,34.85,24.55
Nanostray,1,TRUE,Action,THQ,71,0.06,17.95,Nintendo DS,E,2005,1.433333333,0,0,0,0,0,0,1.433333333,1.733333333,1.233333333
Sega Casino,1,TRUE,Simulation,Sega,61,0.06,17.95,Nintendo DS,M,2005,0,0,0,0,0,0,0,0,0,0
Teenage Mutant Ninja Turtles 3: Mutant Nightmare,1,TRUE,"Action,Adventure",Konami,58,0.06,17.95,Nintendo DS,T,2005,4.5,0,0,0,0,0,0,4.5,4.5,4.5
Pac-Man World 3,1,TRUE,Action,"EA,Namco",61,0.06,24.95,Sony PSP,E,2005,8,0,0,0,0,0,0,8,8,8
Tokobot,1,TRUE,Strategy,,72,0.06,17.95,Sony PSP,T,2005,9.333333333,0,0,0,12,12,12,8.45,8.7,8.2
Fullmetal Alchemist: Dual Sympathy,1,TRUE,Action,,58,0.05,14.95,Nintendo DS,M,2005,14,0,0,0,0,0,0,14,14.5,13.5
Exit,1,TRUE,Action,Ubisoft,77,0.05,9.95,Sony PSP,E,2005,6,0,0,0,0,0,0,6,6,6
Bubble Bobble Revolution,1,TRUE,Action,,38,0.04,17.95,Nintendo DS,M,2005,0,0,0,0,0,0,0,0,0,0
The Rub Rabbits!,2,TRUE,"Action,Adventure",Sega,68,0.02,17.95,Nintendo DS,M,2005,3.166666667,0,0,0,3.666666667,4.333333333,3,2.166666667,2.166666667,2.166666667
